                source_id|          ra|         dec|phot_g_mean_mag|parallax|     pmra|    pmdec|delta_mu|delta_mu_un|pm_error|      F|   F_un|
      3915874000483586688|171.73252082| 11.87515782|         12.854|    20.2| -484.298|  192.952|     4.0|        5.1|    11.7|    0.3|    0.4|
       395351022345818752|  2.86724289| 50.81948411|         16.017|    20.2|  166.893| -161.074|     7.5|        7.6|     7.0|    1.1|    1.1|
      4366317564761916160|258.45113591| -4.25029624|         15.003|    20.2| -174.868| -145.695|     4.2|        7.3|     6.8|    0.6|    1.1|
      3928549243543619712|189.28504840| 11.57678089|         16.070|    20.2| -122.669| -230.646|     3.2|        6.1|    10.6|    0.3|    0.6|
      4035007665903537920|179.73568798| 40.35776026|         12.508|    20.2| -355.578| -271.371|     2.4|        1.6|     7.8|    0.3|    0.2|
       682848917587646976|123.53324026| 27.06017541|         13.192|    20.2|  187.849| -100.140|     1.8|        4.7|     5.4|    0.3|    0.9|
      3644291643421235712|211.62726432| -4.79751642|         16.790|    20.2| -246.846| -107.100|     7.4|        4.4|     5.9|    1.3|    0.7|
      2049908901650307456|292.01089854| 35.86533066|         16.397|    20.2| -172.195| -222.696|     7.5|        5.3|     5.5|    1.4|    1.0|
      1396241301826482944|236.39988751| 42.93786963|         17.478|    20.2| -196.332|  223.722|     3.7|        1.3|     6.0|    0.6|    0.2|
      4504644923655901568|282.88725797| 12.70831495|         15.180|    20.2|  270.469| -185.953|     7.5|       14.5|     7.6|    1.0|    1.9|
       214657178351426688| 88.82307592| 51.08269934|         13.696|    20.2|  364.164| -489.355|     1.7|        2.1|     6.3|    0.3|    0.3|
      1139105561185124608|126.23004814| 80.10542517|         17.215|    20.2|  209.680| -302.294|    12.9|       12.9|     5.9|    2.2|    2.2|
      2703946865070044288|337.08281578|  3.06394467|         14.155|    20.2| -259.385| -214.837|     7.4|        1.9|     8.1|    0.9|    0.2|
       908060853512404992|124.94258602| 37.52396812|         15.756|    20.2| -107.842| -103.155|     4.6|        7.1|    11.1|    0.4|    0.6|
      2559974849733367168| 22.92918754|  3.75331222|         12.560|    20.2|  165.177|  150.823|     2.8|        3.7|     7.0|    0.4|    0.5|
      1237166295981084416|222.64800341| 19.43184084|         13.357|    20.2| -359.983| -180.409|     4.2|        4.0|     6.2|    0.7|    0.7|
      2810730506646441984|349.14191249| 11.46833738|         18.039|    20.2| -192.789|  119.988|     5.3|        4.4|     8.8|    0.6|    0.5|
      2159835252389580160|275.54189637| 61.86335913|         18.075|    20.2|  104.583| -149.782|     6.5|        9.3|     7.9|    0.8|    1.2|
