                source_id|          ra|         dec|phot_g_mean_mag|parallax|     pmra|    pmdec|delta_mu|delta_mu_un|pm_error|      F|   F_un|
      2001345397199713152|336.23469729| 52.00711138|         13.331|    63.8|  233.155|  431.983|     7.5|        5.2|     6.8|    1.1|    0.8|
       851053031037729408|162.82732096| 56.21767230|         18.065|    63.9| -227.028| -316.001|    14.3|       13.6|     7.3|    2.0|    1.9|
      1656076893269778432|265.68234447| 75.62282031|         12.837|    64.3|  513.741|  211.127|     2.3|        4.2|     5.9|    0.4|    0.7|
      4594186745414679680|263.80474400| 26.57845253|         15.870|    64.3|  141.579| -289.130|    31.7|       36.6|     6.3|    5.0|    5.8|
      2564019716784563840| 17.99328955|  4.90110530|         12.558|    64.6|  373.049| -529.964|     8.6|       15.5|     7.4|    1.2|    2.1|
      6319027263385067264|227.95646559|-10.23946474|         12.744|    65.5| -967.883| -250.196|     9.6|        6.9|     6.0|    1.6|    1.1|
      1631591147276525696|253.20757184| 63.07812357|         12.757|    65.8|  147.377|  152.860|     6.5|        3.9|     7.0|    0.9|    0.6|
      1120741689776617600|140.31680400| 73.10919064|         13.466|    66.4| -912.026| -343.031|    10.4|       12.2|     7.4|    1.4|    1.7|
      1735245338242513536|310.85143816|  4.76468597|         13.517|    66.5|  446.319| -145.517|     5.6|        8.4|     7.3|    0.8|    1.2|
      3808159454810609280|162.17643933|  1.19847721|         17.700|    66.6| -439.575| -231.446|    11.9|       17.4|     7.2|    1.7|    2.4|
      1138963758544545280|123.42723032| 79.30137045|         13.194|    66.7| -350.864| -407.828|     8.1|        9.8|     6.8|    1.2|    1.4|
       746545859566712832|150.20647542| 31.92731751|         14.124|    66.9| -533.951| -428.522|     3.9|        7.4|     5.9|    0.7|    1.3|
       121843656638575872| 48.55352914| 28.67431954|         14.582|    67.1|  311.196| -750.010|     0.4|        1.9|     5.3|    0.1|    0.3|
      3899128064731508736|178.47088836|  6.99498534|         15.268|    67.1|  314.535| -894.185|     5.0|        2.3|    10.2|    0.5|    0.2|
      3814642931282607104|165.33669038|  3.00299483|         12.675|    67.3| 1074.026| -402.291|     5.6|       11.8|     7.6|    0.7|    1.6|
      3143635723866162432|117.96608429|  5.54739178|         13.142|    67.6|  443.246| -409.885|     7.6|       10.5|     7.7|    1.0|    1.4|
       393621524910343296|  2.23227288| 49.31654365|         14.385|    67.8|  352.671|  202.424|     1.6|        2.1|     5.8|    0.3|    0.4|
       740483560857296768|152.92260660| 28.76323853|         16.547|    67.9| -124.825| -713.244|     5.7|        2.8|     7.1|    0.8|    0.4|
       240945608019526272| 50.75898300| 42.00439890|         13.612|    67.9|  275.383| -688.141|     8.8|        3.4|     9.9|    0.9|    0.3|
      4470812298018311296|274.13072292|  4.88119324|         13.014|    68.2| -155.423|  407.111|     1.9|        7.0|     6.4|    0.3|    1.1|
        56252256123908096| 50.25045284| 18.90518268|         16.105|    68.3|  352.290| -257.070|     1.6|        4.7|     6.5|    0.3|    0.7|
      1965478468902062464|321.13780325| 40.06853292|         13.897|    68.9|  542.230|  439.024|     4.2|        7.7|     6.3|    0.7|    1.2|
       279844370905734144| 79.22394987| 56.67019026|         15.017|    68.9|  140.665| -407.958|     5.8|        4.5|     5.8|    1.0|    0.8|
      1405343643196929536|248.75733561| 43.29208824|         14.716|    69.0|  226.112| -301.846|     2.7|        5.6|     6.1|    0.4|    0.9|
       573273684709125504| 19.92451075| 84.16122554|         13.098|    69.2| -981.853|  475.580|     1.9|        4.1|    22.9|    0.1|    0.2|
      2751296646125543040|  8.98624024| 10.47482086|         13.559|    69.5| 1085.066| -384.920|     4.7|        5.1|     6.5|    0.7|    0.8|
      2098514324976071424|280.84148373| 40.67522342|         15.408|    69.6| -120.803|  591.279|     4.7|        1.0|     5.7|    0.8|    0.2|
      1648484868558988544|250.08279107| 67.60294001|         13.552|    69.8| -273.270|  365.310|     2.5|        8.6|     6.1|    0.4|    1.4|
      3342958387205080064| 89.24084594| 11.74102282|         13.802|    70.3|  523.506| -342.442|     8.0|        9.9|     7.0|    1.1|    1.4|
      3530383784971799680|191.00091142|-11.17578763|         12.635|    70.6| -478.939| -153.024|     5.2|       11.3|     5.8|    0.9|    1.9|
      2799992744809482112|  6.98524395| 22.32490279|         14.962|    70.8|  392.717| -186.588|    14.1|       15.1|     9.6|    1.5|    1.6|
      1466009540856759680|196.71054782| 30.84621622|         13.605|    70.9|  182.154| -474.771|    24.7|       25.7|    24.9|    1.0|    1.0|
        33732162042339072| 41.64079022| 16.41697205|         14.553|    71.6| -831.533| -569.025|     8.8|       14.4|     7.3|    1.2|    2.0|
      3668176368871118208|213.88230240|  4.65531887|         12.655|    72.0| -744.439| -769.544|     0.5|        4.0|    13.1|    0.0|    0.3|
      2158285185808357504|275.33398632| 61.01561311|         15.400|    73.0|  147.940| -698.511|     2.8|        4.5|     6.7|    0.4|    0.7|
       144312344255035392| 68.39367443| 20.74463639|         12.891|    73.5|  454.864| -321.946|     7.5|        9.1|    10.2|    0.7|    0.9|
       659464504288593536|130.11987002| 18.40042858|         14.992|    73.9| -809.817| -448.969|     6.9|        6.3|     7.4|    0.9|    0.8|
       555032443207370880| 61.66178755| 79.26526646|         13.371|    74.0|  277.312| -404.306|     6.5|        2.1|     7.1|    0.9|    0.3|
